NUMERACION,CONSOLA,TITULO DEL JUEGO,JAPON,AMERICA DEL NORTE,PAL
282,GAME BOY,FOREMAN FOR REAL,RELEASED,RELEASED,RELEASED
283,GAME BOY,FORTIFIED ZONE,RELEASED,RELEASED,RELEASED
284,GAME BOY,FRANK THOMAS BIG HURT BASEBALL,UNRELEASED,RELEASED,RELEASED
285,GAME BOY,"FRANKY, JOE & DIRK: ON THE TILES",UNRELEASED,UNRELEASED,RELEASED
286,GAME BOY,FRISKY TOM,RELEASED,UNRELEASED,UNRELEASED
287,GAME BOY,FROGGER,UNRELEASED,RELEASED,UNRELEASED
288,GAME BOY,FUSHIGI NO DUNGEON: FURAI NO SHIREN GB: TSUKIKAGEMURA NO KAIBUTSU,RELEASED,UNRELEASED,UNRELEASED
289,GAME BOY,G-ARMS: OPERATION GUNDAM,RELEASED,UNRELEASED,UNRELEASED
290,GAME BOY,G1 KING! 3-HITSU NO YOSOUYA,RELEASED,UNRELEASED,UNRELEASED
291,GAME BOY,GAKKEN KANYOUKU: KOTOWAZA 210,RELEASED,UNRELEASED,UNRELEASED
292,GAME BOY,GAKKEN REKISHI 512,RELEASED,UNRELEASED,UNRELEASED
